
time 00h 16m 02s, episodes 569, frames 0.439M, mean epr 368.692
time 00h 16m 12s, episodes 573, frames 0.444M, mean epr 369.652
time 00h 16m 22s, episodes 581, frames 0.449M, mean epr 369.041
time 00h 16m 32s, episodes 588, frames 0.454M, mean epr 372.141
time 00h 16m 42s, episodes 591, frames 0.459M, mean epr 372.939
time 00h 16m 52s, episodes 599, frames 0.464M, mean epr 375.560
time 00h 17m 03s, episodes 608, frames 0.469M, mean epr 372.487
time 00h 17m 13s, episodes 611, frames 0.474M, mean epr 373.484
time 00h 17m 23s, episodes 619, frames 0.479M, mean epr 377.863
time 00h 17m 33s, episodes 624, frames 0.484M, mean epr 380.116
time 00h 17m 43s, episodes 631, frames 0.489M, mean epr 380.243
time 00h 17m 53s, episodes 636, frames 0.494M, mean epr 385.696
time 00h 18m 04s, episodes 643, frames 0.499M, mean epr 392.909
time 00h 18m 14s, episodes 648, frames 0.504M, mean epr 393.187
time 00h 18m 24s, episodes 657, frames 0.509M, mean epr 394.348
time 00h 18m 34s, episodes 664, frames 0.514M, mean epr 388.854
time 00h 18m 44s, episodes 671, frames 0.519M, mean epr 382.239
time 00h 18m 54s, episodes 678, frames 0.524M, mean epr 374.620
time 00h 19m 04s, episodes 686, frames 0.529M, mean epr 372.252
time 00h 19m 14s, episodes 692, frames 0.534M, mean epr 369.414
time 00h 19m 24s, episodes 698, frames 0.539M, mean epr 374.325
time 00h 19m 35s, episodes 704, frames 0.544M, mean epr 372.293
time 00h 19m 45s, episodes 710, frames 0.549M, mean epr 358.450
time 00h 19m 55s, episodes 715, frames 0.554M, mean epr 341.301
time 00h 20m 05s, episodes 720, frames 0.559M, mean epr 326.019
time 00h 20m 15s, episodes 725, frames 0.563M, mean epr 311.267
time 00h 20m 26s, episodes 732, frames 0.568M, mean epr 296.908
time 00h 20m 36s, episodes 741, frames 0.573M, mean epr 291.296
time 00h 20m 46s, episodes 746, frames 0.578M, mean epr 289.162
time 00h 20m 56s, episodes 752, frames 0.583M, mean epr 288.222
time 00h 21m 06s, episodes 760, frames 0.588M, mean epr 289.211
time 00h 21m 16s, episodes 766, frames 0.593M, mean epr 290.142
time 00h 21m 27s, episodes 773, frames 0.598M, mean epr 292.221
time 00h 21m 37s, episodes 780, frames 0.603M, mean epr 297.105
time 00h 21m 47s, episodes 788, frames 0.608M, mean epr 302.355
time 00h 21m 57s, episodes 795, frames 0.613M, mean epr 301.594
time 00h 22m 07s, episodes 801, frames 0.618M, mean epr 302.422
time 00h 22m 17s, episodes 807, frames 0.622M, mean epr 305.838
time 00h 22m 27s, episodes 817, frames 0.627M, mean epr 312.078
time 00h 22m 37s, episodes 822, frames 0.632M, mean epr 315.518
time 00h 22m 47s, episodes 827, frames 0.637M, mean epr 318.796
time 00h 22m 57s, episodes 836, frames 0.642M, mean epr 317.422
time 00h 23m 07s, episodes 844, frames 0.647M, mean epr 318.284
time 00h 23m 18s, episodes 848, frames 0.652M, mean epr 320.610
time 00h 23m 28s, episodes 855, frames 0.657M, mean epr 326.862
time 00h 23m 38s, episodes 863, frames 0.662M, mean epr 332.114
time 00h 23m 48s, episodes 869, frames 0.667M, mean epr 334.183
time 00h 23m 58s, episodes 877, frames 0.672M, mean epr 331.113
time 00h 24m 08s, episodes 887, frames 0.677M, mean epr 326.590
time 00h 24m 18s, episodes 891, frames 0.682M, mean epr 329.482
time 00h 24m 28s, episodes 898, frames 0.687M, mean epr 331.549
time 00h 24m 38s, episodes 906, frames 0.692M, mean epr 327.878
time 00h 24m 49s, episodes 912, frames 0.697M, mean epr 326.704
time 00h 24m 59s, episodes 919, frames 0.702M, mean epr 330.032
time 00h 25m 09s, episodes 927, frames 0.707M, mean epr 336.325
time 00h 25m 19s, episodes 933, frames 0.712M, mean epr 333.663
time 00h 25m 29s, episodes 941, frames 0.717M, mean epr 333.411
time 00h 25m 40s, episodes 947, frames 0.722M, mean epr 334.794
time 00h 25m 50s, episodes 955, frames 0.727M, mean epr 335.215
time 00h 26m 00s, episodes 961, frames 0.732M, mean epr 330.794
time 00h 26m 10s, episodes 969, frames 0.736M, mean epr 319.029
time 00h 26m 20s, episodes 977, frames 0.741M, mean epr 315.614
time 00h 26m 30s, episodes 982, frames 0.746M, mean epr 317.457
time 00h 26m 40s, episodes 990, frames 0.751M, mean epr 321.863
time 00h 26m 50s, episodes 995, frames 0.756M, mean epr 324.409
time 00h 27m 00s, episodes 1003, frames 0.761M, mean epr 329.090
time 00h 27m 11s, episodes 1008, frames 0.766M, mean epr 331.009
time 00h 27m 21s, episodes 1016, frames 0.771M, mean epr 337.314
time 00h 27m 31s, episodes 1024, frames 0.776M, mean epr 338.170
time 00h 27m 41s, episodes 1028, frames 0.781M, mean epr 339.334
time 00h 27m 51s, episodes 1035, frames 0.786M, mean epr 342.665
time 00h 28m 01s, episodes 1041, frames 0.791M, mean epr 347.573
time 00h 28m 11s, episodes 1048, frames 0.796M, mean epr 352.694
time 00h 28m 21s, episodes 1056, frames 0.801M, mean epr 352.239
time 00h 28m 31s, episodes 1061, frames 0.806M, mean epr 355.577
time 00h 28m 41s, episodes 1068, frames 0.811M, mean epr 358.487
time 00h 28m 52s, episodes 1075, frames 0.816M, mean epr 358.608
time 00h 29m 02s, episodes 1083, frames 0.821M, mean epr 356.853
time 00h 29m 12s, episodes 1087, frames 0.825M, mean epr 356.246
time 00h 29m 22s, episodes 1094, frames 0.830M, mean epr 351.531
time 00h 29m 32s, episodes 1100, frames 0.834M, mean epr 351.407
time 00h 29m 42s, episodes 1107, frames 0.839M, mean epr 348.912
time 00h 29m 52s, episodes 1114, frames 0.843M, mean epr 350.140
time 00h 30m 02s, episodes 1120, frames 0.848M, mean epr 349.913
time 00h 30m 12s, episodes 1126, frames 0.852M, mean epr 352.362
time 00h 30m 22s, episodes 1132, frames 0.857M, mean epr 357.578
time 00h 30m 33s, episodes 1137, frames 0.861M, mean epr 358.982
time 00h 30m 43s, episodes 1144, frames 0.866M, mean epr 361.643
time 00h 30m 53s, episodes 1151, frames 0.870M, mean epr 363.095
time 00h 31m 03s, episodes 1157, frames 0.875M, mean epr 361.513
time 00h 31m 13s, episodes 1164, frames 0.879M, mean epr 364.107
time 00h 31m 23s, episodes 1170, frames 0.884M, mean epr 361.847
time 00h 31m 33s, episodes 1177, frames 0.888M, mean epr 361.485
time 00h 31m 44s, episodes 1184, frames 0.893M, mean epr 360.742
time 00h 31m 54s, episodes 1189, frames 0.898M, mean epr 359.558
time 00h 32m 04s, episodes 1197, frames 0.902M, mean epr 365.693
time 00h 32m 14s, episodes 1202, frames 0.907M, mean epr 365.897
time 00h 32m 24s, episodes 1207, frames 0.911M, mean epr 370.863
time 00h 32m 34s, episodes 1213, frames 0.916M, mean epr 375.101
time 00h 32m 44s, episodes 1220, frames 0.921M, mean epr 372.851
time 00h 32m 54s, episodes 1225, frames 0.925M, mean epr 374.119
time 00h 33m 05s, episodes 1232, frames 0.930M, mean epr 373.746
time 00h 33m 15s, episodes 1240, frames 0.934M, mean epr 369.094
time 00h 33m 25s, episodes 1245, frames 0.939M, mean epr 372.002
time 00h 33m 35s, episodes 1253, frames 0.943M, mean epr 370.167
time 00h 33m 45s, episodes 1260, frames 0.948M, mean epr 364.216
time 00h 33m 55s, episodes 1267, frames 0.953M, mean epr 363.702
time 00h 34m 06s, episodes 1274, frames 0.957M, mean epr 361.747
time 00h 34m 16s, episodes 1280, frames 0.962M, mean epr 358.171
time 00h 34m 26s, episodes 1288, frames 0.966M, mean epr 357.131
time 00h 34m 36s, episodes 1293, frames 0.971M, mean epr 357.594
time 00h 34m 46s, episodes 1300, frames 0.975M, mean epr 359.423
time 00h 34m 56s, episodes 1303, frames 0.980M, mean epr 359.580
time 00h 35m 06s, episodes 1311, frames 0.984M, mean epr 366.253
time 00h 35m 16s, episodes 1317, frames 0.989M, mean epr 366.517
time 00h 35m 26s, episodes 1321, frames 0.994M, mean epr 372.760
time 00h 35m 36s, episodes 1327, frames 0.998M, mean epr 373.266

	1M frames: saved model

time 00h 35m 47s, episodes 1334, frames 1.003M, mean epr 376.218
time 00h 35m 57s, episodes 1339, frames 1.007M, mean epr 376.307
time 00h 36m 07s, episodes 1346, frames 1.012M, mean epr 378.982
time 00h 36m 17s, episodes 1351, frames 1.016M, mean epr 375.891
time 00h 36m 27s, episodes 1359, frames 1.021M, mean epr 374.528
time 00h 36m 38s, episodes 1367, frames 1.026M, mean epr 364.831
time 00h 36m 48s, episodes 1372, frames 1.030M, mean epr 366.471
time 00h 36m 58s, episodes 1379, frames 1.035M, mean epr 365.881
time 00h 37m 08s, episodes 1387, frames 1.039M, mean epr 364.776
time 00h 37m 18s, episodes 1391, frames 1.044M, mean epr 364.656
time 00h 37m 28s, episodes 1398, frames 1.049M, mean epr 370.040
time 00h 37m 38s, episodes 1403, frames 1.053M, mean epr 368.366
time 00h 37m 48s, episodes 1407, frames 1.058M, mean epr 371.238
time 00h 37m 58s, episodes 1414, frames 1.062M, mean epr 376.807
time 00h 38m 09s, episodes 1419, frames 1.067M, mean epr 376.419
time 00h 38m 19s, episodes 1424, frames 1.071M, mean epr 381.006
time 00h 38m 29s, episodes 1429, frames 1.076M, mean epr 384.535
time 00h 38m 39s, episodes 1436, frames 1.080M, mean epr 388.181
time 00h 38m 49s, episodes 1441, frames 1.085M, mean epr 388.884
time 00h 38m 59s, episodes 1447, frames 1.090M, mean epr 393.165
time 00h 39m 10s, episodes 1451, frames 1.094M, mean epr 394.443
time 00h 39m 20s, episodes 1459, frames 1.099M, mean epr 397.224
time 00h 39m 30s, episodes 1464, frames 1.104M, mean epr 395.661
time 00h 39m 40s, episodes 1469, frames 1.109M, mean epr 397.284
time 00h 39m 50s, episodes 1477, frames 1.114M, mean epr 404.104
time 00h 40m 00s, episodes 1480, frames 1.119M, mean epr 405.611
time 00h 40m 10s, episodes 1489, frames 1.124M, mean epr 404.027
time 00h 40m 21s, episodes 1493, frames 1.129M, mean epr 404.850
time 00h 40m 31s, episodes 1500, frames 1.133M, mean epr 411.358
time 00h 40m 41s, episodes 1507, frames 1.138M, mean epr 409.352
time 00h 40m 51s, episodes 1513, frames 1.143M, mean epr 411.075
time 00h 41m 01s, episodes 1521, frames 1.148M, mean epr 406.907
time 00h 41m 11s, episodes 1529, frames 1.153M, mean epr 403.869
time 00h 41m 22s, episodes 1533, frames 1.158M, mean epr 397.429
time 00h 41m 32s, episodes 1540, frames 1.162M, mean epr 396.891
time 00h 41m 42s, episodes 1545, frames 1.167M, mean epr 395.152
time 00h 41m 52s, episodes 1554, frames 1.171M, mean epr 393.722
time 00h 42m 02s, episodes 1558, frames 1.176M, mean epr 395.574
time 00h 42m 12s, episodes 1564, frames 1.181M, mean epr 398.888
time 00h 42m 23s, episodes 1569, frames 1.185M, mean epr 402.168
time 00h 42m 33s, episodes 1575, frames 1.190M, mean epr 411.357
time 00h 42m 43s, episodes 1579, frames 1.194M, mean epr 412.959
time 00h 42m 53s, episodes 1585, frames 1.199M, mean epr 413.009
time 00h 43m 03s, episodes 1591, frames 1.204M, mean epr 412.404
time 00h 43m 13s, episodes 1596, frames 1.208M, mean epr 413.591
time 00h 43m 23s, episodes 1602, frames 1.213M, mean epr 414.367
time 00h 43m 34s, episodes 1606, frames 1.217M, mean epr 413.776
time 00h 43m 44s, episodes 1612, frames 1.222M, mean epr 411.232
time 00h 43m 54s, episodes 1617, frames 1.226M, mean epr 413.747
time 00h 44m 04s, episodes 1622, frames 1.231M, mean epr 411.352
time 00h 44m 14s, episodes 1627, frames 1.235M, mean epr 412.153
time 00h 44m 25s, episodes 1635, frames 1.240M, mean epr 408.776
time 00h 44m 35s, episodes 1639, frames 1.244M, mean epr 410.227
time 00h 44m 45s, episodes 1646, frames 1.249M, mean epr 410.082
time 00h 44m 55s, episodes 1651, frames 1.253M, mean epr 410.335
time 00h 45m 05s, episodes 1656, frames 1.258M, mean epr 409.547
time 00h 45m 15s, episodes 1661, frames 1.262M, mean epr 406.753
time 00h 45m 25s, episodes 1668, frames 1.267M, mean epr 406.181
time 00h 45m 35s, episodes 1676, frames 1.272M, mean epr 402.288
time 00h 45m 46s, episodes 1683, frames 1.276M, mean epr 396.772
time 00h 45m 56s, episodes 1687, frames 1.281M, mean epr 394.972
time 00h 46m 06s, episodes 1696, frames 1.286M, mean epr 390.700
time 00h 46m 16s, episodes 1699, frames 1.290M, mean epr 386.788
time 00h 46m 26s, episodes 1707, frames 1.295M, mean epr 388.562
time 00h 46m 36s, episodes 1712, frames 1.299M, mean epr 385.280
time 00h 46m 47s, episodes 1720, frames 1.304M, mean epr 384.479
time 00h 46m 57s, episodes 1724, frames 1.308M, mean epr 382.976
time 00h 47m 07s, episodes 1730, frames 1.313M, mean epr 386.580
time 00h 47m 17s, episodes 1735, frames 1.318M, mean epr 387.767
time 00h 47m 27s, episodes 1743, frames 1.322M, mean epr 388.610
time 00h 47m 37s, episodes 1749, frames 1.327M, mean epr 386.151
time 00h 47m 47s, episodes 1755, frames 1.332M, mean epr 381.684
time 00h 47m 57s, episodes 1762, frames 1.336M, mean epr 383.035
time 00h 48m 07s, episodes 1770, frames 1.341M, mean epr 376.033
time 00h 48m 17s, episodes 1776, frames 1.345M, mean epr 371.123
time 00h 48m 27s, episodes 1783, frames 1.350M, mean epr 369.337
time 00h 48m 38s, episodes 1791, frames 1.354M, mean epr 369.401
