
time 00h 15m 59s, episodes 518, frames 0.133M, mean epr 1.487
time 00h 16m 09s, episodes 528, frames 0.134M, mean epr 1.632
time 00h 16m 20s, episodes 530, frames 0.136M, mean epr 1.620
time 00h 16m 30s, episodes 537, frames 0.137M, mean epr 1.608
time 00h 16m 40s, episodes 541, frames 0.138M, mean epr 1.584
time 00h 16m 50s, episodes 547, frames 0.140M, mean epr 1.647
time 00h 17m 00s, episodes 552, frames 0.141M, mean epr 1.635
time 00h 17m 10s, episodes 559, frames 0.143M, mean epr 1.630
time 00h 17m 20s, episodes 563, frames 0.144M, mean epr 1.606
time 00h 17m 30s, episodes 566, frames 0.145M, mean epr 1.627
time 00h 17m 40s, episodes 573, frames 0.147M, mean epr 1.701
time 00h 17m 50s, episodes 578, frames 0.148M, mean epr 1.647
time 00h 18m 00s, episodes 583, frames 0.149M, mean epr 1.654
time 00h 18m 10s, episodes 587, frames 0.151M, mean epr 1.668
time 00h 18m 20s, episodes 590, frames 0.152M, mean epr 1.698
time 00h 18m 30s, episodes 598, frames 0.154M, mean epr 1.741
time 00h 18m 40s, episodes 602, frames 0.155M, mean epr 1.702
time 00h 18m 50s, episodes 608, frames 0.156M, mean epr 1.739
time 00h 19m 00s, episodes 611, frames 0.158M, mean epr 1.717
time 00h 19m 10s, episodes 616, frames 0.159M, mean epr 1.781
time 00h 19m 21s, episodes 620, frames 0.161M, mean epr 1.790
time 00h 19m 31s, episodes 626, frames 0.162M, mean epr 1.853
time 00h 19m 41s, episodes 630, frames 0.164M, mean epr 1.888
time 00h 19m 51s, episodes 636, frames 0.165M, mean epr 1.855
time 00h 20m 01s, episodes 638, frames 0.166M, mean epr 1.838
time 00h 20m 11s, episodes 644, frames 0.168M, mean epr 1.869
time 00h 20m 22s, episodes 649, frames 0.169M, mean epr 1.875
time 00h 20m 32s, episodes 653, frames 0.171M, mean epr 1.890
time 00h 20m 42s, episodes 658, frames 0.172M, mean epr 1.915
time 00h 20m 52s, episodes 664, frames 0.173M, mean epr 1.949
time 00h 21m 02s, episodes 669, frames 0.175M, mean epr 1.961
time 00h 21m 12s, episodes 673, frames 0.176M, mean epr 1.943
time 00h 21m 22s, episodes 679, frames 0.178M, mean epr 1.946
time 00h 21m 32s, episodes 684, frames 0.179M, mean epr 1.919
time 00h 21m 42s, episodes 691, frames 0.180M, mean epr 1.886
time 00h 21m 52s, episodes 695, frames 0.182M, mean epr 1.861
time 00h 22m 02s, episodes 700, frames 0.183M, mean epr 1.908
time 00h 22m 12s, episodes 703, frames 0.184M, mean epr 1.930
time 00h 22m 23s, episodes 709, frames 0.186M, mean epr 1.944
time 00h 22m 33s, episodes 713, frames 0.187M, mean epr 2.025
time 00h 22m 43s, episodes 717, frames 0.189M, mean epr 2.024
time 00h 22m 53s, episodes 722, frames 0.190M, mean epr 2.003
time 00h 23m 03s, episodes 727, frames 0.192M, mean epr 2.062
time 00h 23m 13s, episodes 733, frames 0.193M, mean epr 2.039
time 00h 23m 23s, episodes 741, frames 0.194M, mean epr 1.958
time 00h 23m 34s, episodes 746, frames 0.196M, mean epr 1.970
time 00h 23m 44s, episodes 751, frames 0.197M, mean epr 1.913
time 00h 23m 54s, episodes 754, frames 0.199M, mean epr 1.886
time 00h 24m 04s, episodes 761, frames 0.200M, mean epr 1.923
time 00h 24m 14s, episodes 765, frames 0.201M, mean epr 1.916
time 00h 24m 24s, episodes 770, frames 0.203M, mean epr 1.950
time 00h 24m 35s, episodes 777, frames 0.204M, mean epr 1.953
time 00h 24m 45s, episodes 782, frames 0.206M, mean epr 1.945
time 00h 24m 55s, episodes 788, frames 0.207M, mean epr 1.910
time 00h 25m 05s, episodes 792, frames 0.209M, mean epr 1.884
time 00h 25m 15s, episodes 798, frames 0.210M, mean epr 1.930
time 00h 25m 25s, episodes 801, frames 0.211M, mean epr 1.902
time 00h 25m 35s, episodes 805, frames 0.213M, mean epr 1.945
time 00h 25m 46s, episodes 812, frames 0.214M, mean epr 1.977
time 00h 25m 56s, episodes 818, frames 0.216M, mean epr 1.930
time 00h 26m 07s, episodes 823, frames 0.217M, mean epr 1.933
time 00h 26m 17s, episodes 827, frames 0.219M, mean epr 1.955
time 00h 26m 27s, episodes 834, frames 0.220M, mean epr 1.938
time 00h 26m 37s, episodes 840, frames 0.221M, mean epr 1.912
time 00h 26m 47s, episodes 843, frames 0.223M, mean epr 1.905
time 00h 26m 57s, episodes 849, frames 0.224M, mean epr 1.950
time 00h 27m 07s, episodes 855, frames 0.226M, mean epr 1.894
time 00h 27m 17s, episodes 860, frames 0.227M, mean epr 1.841
time 00h 27m 28s, episodes 866, frames 0.228M, mean epr 1.820
time 00h 27m 38s, episodes 870, frames 0.230M, mean epr 1.837
time 00h 27m 48s, episodes 875, frames 0.231M, mean epr 1.875
time 00h 27m 58s, episodes 882, frames 0.233M, mean epr 1.853
time 00h 28m 08s, episodes 886, frames 0.234M, mean epr 1.849
time 00h 28m 18s, episodes 890, frames 0.235M, mean epr 1.885
time 00h 28m 28s, episodes 895, frames 0.237M, mean epr 1.921
time 00h 28m 38s, episodes 898, frames 0.238M, mean epr 1.933
time 00h 28m 48s, episodes 904, frames 0.240M, mean epr 1.947
time 00h 28m 58s, episodes 909, frames 0.241M, mean epr 1.939
time 00h 29m 08s, episodes 912, frames 0.242M, mean epr 1.931
time 00h 29m 18s, episodes 918, frames 0.244M, mean epr 1.984
time 00h 29m 29s, episodes 923, frames 0.245M, mean epr 1.995
time 00h 29m 39s, episodes 927, frames 0.247M, mean epr 2.005
time 00h 29m 49s, episodes 931, frames 0.248M, mean epr 2.034
time 00h 29m 59s, episodes 937, frames 0.250M, mean epr 2.022
time 00h 30m 09s, episodes 942, frames 0.251M, mean epr 2.040
time 00h 30m 20s, episodes 947, frames 0.253M, mean epr 2.068
time 00h 30m 30s, episodes 951, frames 0.254M, mean epr 2.094
time 00h 30m 40s, episodes 955, frames 0.255M, mean epr 2.090
time 00h 30m 50s, episodes 959, frames 0.257M, mean epr 2.116
time 00h 31m 01s, episodes 964, frames 0.258M, mean epr 2.140
time 00h 31m 11s, episodes 970, frames 0.260M, mean epr 2.112
time 00h 31m 21s, episodes 976, frames 0.261M, mean epr 2.076
time 00h 31m 31s, episodes 979, frames 0.262M, mean epr 2.034
time 00h 31m 41s, episodes 985, frames 0.264M, mean epr 2.080
time 00h 31m 51s, episodes 990, frames 0.265M, mean epr 2.085
time 00h 32m 01s, episodes 995, frames 0.267M, mean epr 2.061
time 00h 32m 11s, episodes 998, frames 0.268M, mean epr 2.060
time 00h 32m 21s, episodes 1002, frames 0.269M, mean epr 2.068
time 00h 32m 31s, episodes 1008, frames 0.271M, mean epr 2.103
time 00h 32m 41s, episodes 1012, frames 0.272M, mean epr 2.109
time 00h 32m 51s, episodes 1017, frames 0.273M, mean epr 2.143
time 00h 33m 01s, episodes 1019, frames 0.275M, mean epr 2.160
time 00h 33m 11s, episodes 1027, frames 0.276M, mean epr 2.148
time 00h 33m 22s, episodes 1029, frames 0.278M, mean epr 2.125
time 00h 33m 32s, episodes 1037, frames 0.279M, mean epr 2.125
time 00h 33m 42s, episodes 1039, frames 0.280M, mean epr 2.133
time 00h 33m 52s, episodes 1046, frames 0.282M, mean epr 2.115
time 00h 34m 02s, episodes 1050, frames 0.283M, mean epr 2.090
time 00h 34m 12s, episodes 1054, frames 0.285M, mean epr 2.077
time 00h 34m 22s, episodes 1060, frames 0.286M, mean epr 2.161
time 00h 34m 32s, episodes 1065, frames 0.288M, mean epr 2.143
time 00h 34m 43s, episodes 1066, frames 0.289M, mean epr 2.151
time 00h 34m 53s, episodes 1071, frames 0.290M, mean epr 2.153
time 00h 35m 03s, episodes 1074, frames 0.292M, mean epr 2.168
time 00h 35m 13s, episodes 1075, frames 0.293M, mean epr 2.186
