
time 00h 00m 10s, episodes 0, frames 0.006M, mean epr 0.000
time 00h 00m 20s, episodes 10, frames 0.010M, mean epr 218.331
time 00h 00m 30s, episodes 14, frames 0.015M, mean epr 220.724
time 00h 00m 40s, episodes 19, frames 0.019M, mean epr 224.768
time 00h 00m 51s, episodes 26, frames 0.023M, mean epr 233.371
time 00h 01m 01s, episodes 30, frames 0.028M, mean epr 237.411
time 00h 01m 11s, episodes 34, frames 0.032M, mean epr 241.298
time 00h 01m 22s, episodes 42, frames 0.036M, mean epr 248.135
time 00h 01m 32s, episodes 47, frames 0.041M, mean epr 249.784
time 00h 01m 42s, episodes 53, frames 0.045M, mean epr 256.731
time 00h 01m 52s, episodes 60, frames 0.049M, mean epr 260.036
time 00h 02m 03s, episodes 66, frames 0.054M, mean epr 260.379
time 00h 02m 13s, episodes 73, frames 0.058M, mean epr 265.064
time 00h 02m 23s, episodes 78, frames 0.063M, mean epr 267.861
time 00h 02m 33s, episodes 85, frames 0.067M, mean epr 272.490
time 00h 02m 43s, episodes 91, frames 0.071M, mean epr 272.684
time 00h 02m 53s, episodes 96, frames 0.075M, mean epr 275.576
time 00h 03m 04s, episodes 103, frames 0.080M, mean epr 278.878
time 00h 03m 14s, episodes 106, frames 0.084M, mean epr 280.574
time 00h 03m 24s, episodes 114, frames 0.088M, mean epr 281.636
time 00h 03m 34s, episodes 117, frames 0.093M, mean epr 281.161
time 00h 03m 44s, episodes 123, frames 0.097M, mean epr 283.743
time 00h 03m 54s, episodes 127, frames 0.101M, mean epr 286.821
time 00h 04m 04s, episodes 133, frames 0.105M, mean epr 292.611
time 00h 04m 14s, episodes 135, frames 0.109M, mean epr 294.730
time 00h 04m 25s, episodes 143, frames 0.113M, mean epr 300.128
time 00h 04m 35s, episodes 147, frames 0.117M, mean epr 302.814
time 00h 04m 45s, episodes 154, frames 0.121M, mean epr 307.433
time 00h 04m 55s, episodes 157, frames 0.125M, mean epr 307.658
time 00h 05m 05s, episodes 164, frames 0.129M, mean epr 308.497
time 00h 05m 15s, episodes 167, frames 0.133M, mean epr 311.802
time 00h 05m 26s, episodes 174, frames 0.137M, mean epr 316.736
time 00h 05m 36s, episodes 181, frames 0.141M, mean epr 316.602
time 00h 05m 46s, episodes 185, frames 0.145M, mean epr 321.491
time 00h 05m 56s, episodes 190, frames 0.149M, mean epr 325.082
time 00h 06m 06s, episodes 197, frames 0.153M, mean epr 325.382
time 00h 06m 16s, episodes 201, frames 0.158M, mean epr 325.584
time 00h 06m 26s, episodes 207, frames 0.162M, mean epr 327.891
time 00h 06m 36s, episodes 211, frames 0.166M, mean epr 329.440
time 00h 06m 46s, episodes 217, frames 0.170M, mean epr 329.177
time 00h 06m 57s, episodes 224, frames 0.174M, mean epr 327.780
time 00h 07m 07s, episodes 228, frames 0.178M, mean epr 326.860
time 00h 07m 17s, episodes 232, frames 0.182M, mean epr 328.880
time 00h 07m 27s, episodes 238, frames 0.186M, mean epr 329.910
time 00h 07m 37s, episodes 245, frames 0.190M, mean epr 330.053
