
time 00h 00m 10s, episodes 0, frames 0.006M, mean epr 0.000
time 00h 00m 20s, episodes 5, frames 0.009M, mean epr 209.796
time 00h 00m 31s, episodes 12, frames 0.012M, mean epr 212.463
time 00h 00m 41s, episodes 15, frames 0.015M, mean epr 213.860
time 00h 00m 51s, episodes 17, frames 0.018M, mean epr 212.738
time 00h 01m 02s, episodes 23, frames 0.021M, mean epr 212.198
time 00h 01m 12s, episodes 28, frames 0.024M, mean epr 214.958
time 00h 01m 22s, episodes 29, frames 0.026M, mean epr 214.698
time 00h 01m 32s, episodes 34, frames 0.029M, mean epr 214.880
time 00h 01m 42s, episodes 37, frames 0.032M, mean epr 214.319
time 00h 01m 53s, episodes 43, frames 0.035M, mean epr 215.336
time 00h 02m 03s, episodes 46, frames 0.037M, mean epr 214.972
time 00h 02m 13s, episodes 50, frames 0.040M, mean epr 217.267
time 00h 02m 24s, episodes 53, frames 0.043M, mean epr 217.473
time 00h 02m 34s, episodes 56, frames 0.046M, mean epr 219.122
time 00h 02m 44s, episodes 61, frames 0.049M, mean epr 222.403
time 00h 02m 55s, episodes 65, frames 0.051M, mean epr 224.208
time 00h 03m 05s, episodes 68, frames 0.054M, mean epr 225.245
time 00h 03m 15s, episodes 71, frames 0.057M, mean epr 227.697
time 00h 03m 26s, episodes 76, frames 0.060M, mean epr 230.743
time 00h 03m 36s, episodes 79, frames 0.063M, mean epr 230.545
time 00h 03m 47s, episodes 83, frames 0.066M, mean epr 232.816
time 00h 03m 57s, episodes 86, frames 0.068M, mean epr 231.727
time 00h 04m 08s, episodes 90, frames 0.071M, mean epr 232.744
time 00h 04m 18s, episodes 96, frames 0.074M, mean epr 233.422
time 00h 04m 29s, episodes 98, frames 0.077M, mean epr 234.838
time 00h 04m 39s, episodes 101, frames 0.080M, mean epr 233.057
time 00h 04m 49s, episodes 105, frames 0.083M, mean epr 235.262
time 00h 04m 59s, episodes 109, frames 0.086M, mean epr 235.086
time 00h 05m 09s, episodes 114, frames 0.088M, mean epr 235.504
time 00h 05m 20s, episodes 120, frames 0.091M, mean epr 235.401
time 00h 05m 30s, episodes 122, frames 0.094M, mean epr 234.893
time 00h 05m 40s, episodes 126, frames 0.097M, mean epr 233.713
time 00h 05m 51s, episodes 128, frames 0.100M, mean epr 233.455
time 00h 06m 01s, episodes 134, frames 0.103M, mean epr 238.859
time 00h 06m 12s, episodes 137, frames 0.106M, mean epr 239.025
time 00h 06m 22s, episodes 141, frames 0.108M, mean epr 238.925
time 00h 06m 32s, episodes 143, frames 0.111M, mean epr 240.010
time 00h 06m 43s, episodes 150, frames 0.114M, mean epr 236.792
time 00h 06m 53s, episodes 154, frames 0.117M, mean epr 238.607
time 00h 07m 03s, episodes 156, frames 0.120M, mean epr 238.460
time 00h 07m 13s, episodes 162, frames 0.123M, mean epr 235.955
time 00h 07m 24s, episodes 167, frames 0.126M, mean epr 238.557
time 00h 07m 34s, episodes 169, frames 0.128M, mean epr 237.778
time 00h 07m 44s, episodes 173, frames 0.131M, mean epr 238.156
time 00h 07m 55s, episodes 175, frames 0.134M, mean epr 237.801
time 00h 08m 05s, episodes 182, frames 0.137M, mean epr 238.154
time 00h 08m 16s, episodes 183, frames 0.140M, mean epr 238.293
time 00h 08m 26s, episodes 185, frames 0.142M, mean epr 237.940
time 00h 08m 37s, episodes 190, frames 0.145M, mean epr 238.232
time 00h 08m 47s, episodes 196, frames 0.148M, mean epr 239.435
