
time 00h 16m 34s, episodes 783, frames 0.189M, mean epr 1.414
time 00h 16m 44s, episodes 787, frames 0.191M, mean epr 1.457
time 00h 16m 54s, episodes 796, frames 0.192M, mean epr 1.504
time 00h 17m 05s, episodes 801, frames 0.195M, mean epr 1.519
time 00h 17m 16s, episodes 811, frames 0.197M, mean epr 1.563
time 00h 17m 26s, episodes 816, frames 0.199M, mean epr 1.594
time 00h 17m 37s, episodes 823, frames 0.201M, mean epr 1.661
time 00h 17m 49s, episodes 831, frames 0.203M, mean epr 1.658
time 00h 17m 59s, episodes 838, frames 0.204M, mean epr 1.681
time 00h 18m 10s, episodes 847, frames 0.206M, mean epr 1.662
time 00h 18m 20s, episodes 855, frames 0.208M, mean epr 1.640
time 00h 18m 30s, episodes 862, frames 0.210M, mean epr 1.634
time 00h 18m 41s, episodes 871, frames 0.212M, mean epr 1.628
time 00h 18m 51s, episodes 879, frames 0.214M, mean epr 1.569
time 00h 19m 02s, episodes 886, frames 0.216M, mean epr 1.531
time 00h 19m 13s, episodes 892, frames 0.218M, mean epr 1.500
time 00h 19m 23s, episodes 902, frames 0.220M, mean epr 1.479
time 00h 19m 33s, episodes 910, frames 0.221M, mean epr 1.508
time 00h 19m 44s, episodes 918, frames 0.223M, mean epr 1.479
time 00h 19m 54s, episodes 924, frames 0.225M, mean epr 1.501
time 00h 20m 04s, episodes 931, frames 0.227M, mean epr 1.496
time 00h 20m 15s, episodes 937, frames 0.229M, mean epr 1.545
time 00h 20m 26s, episodes 944, frames 0.231M, mean epr 1.499
time 00h 20m 36s, episodes 951, frames 0.233M, mean epr 1.552
time 00h 20m 47s, episodes 958, frames 0.234M, mean epr 1.573
time 00h 20m 58s, episodes 966, frames 0.236M, mean epr 1.558
time 00h 21m 09s, episodes 973, frames 0.238M, mean epr 1.540
time 00h 21m 19s, episodes 981, frames 0.240M, mean epr 1.526
time 00h 21m 30s, episodes 990, frames 0.242M, mean epr 1.500
time 00h 21m 40s, episodes 998, frames 0.244M, mean epr 1.462
time 00h 21m 51s, episodes 1007, frames 0.246M, mean epr 1.412
time 00h 22m 01s, episodes 1016, frames 0.248M, mean epr 1.436
time 00h 22m 12s, episodes 1023, frames 0.250M, mean epr 1.377
time 00h 22m 22s, episodes 1032, frames 0.252M, mean epr 1.354
time 00h 22m 34s, episodes 1040, frames 0.254M, mean epr 1.307
time 00h 22m 44s, episodes 1049, frames 0.256M, mean epr 1.310
time 00h 22m 54s, episodes 1057, frames 0.258M, mean epr 1.296
time 00h 23m 05s, episodes 1066, frames 0.260M, mean epr 1.271
time 00h 23m 16s, episodes 1074, frames 0.262M, mean epr 1.231
time 00h 23m 26s, episodes 1082, frames 0.264M, mean epr 1.212
time 00h 23m 37s, episodes 1089, frames 0.265M, mean epr 1.227
time 00h 23m 48s, episodes 1098, frames 0.267M, mean epr 1.244
time 00h 23m 58s, episodes 1103, frames 0.269M, mean epr 1.223
time 00h 24m 08s, episodes 1111, frames 0.271M, mean epr 1.245
time 00h 24m 19s, episodes 1121, frames 0.273M, mean epr 1.212
time 00h 24m 29s, episodes 1126, frames 0.275M, mean epr 1.191
time 00h 24m 40s, episodes 1135, frames 0.277M, mean epr 1.223
time 00h 24m 51s, episodes 1142, frames 0.279M, mean epr 1.198
time 00h 25m 02s, episodes 1151, frames 0.281M, mean epr 1.257
time 00h 25m 13s, episodes 1160, frames 0.283M, mean epr 1.311
time 00h 25m 24s, episodes 1168, frames 0.285M, mean epr 1.297
time 00h 25m 34s, episodes 1175, frames 0.287M, mean epr 1.296
time 00h 25m 45s, episodes 1182, frames 0.289M, mean epr 1.305
time 00h 25m 55s, episodes 1190, frames 0.291M, mean epr 1.273
time 00h 26m 05s, episodes 1198, frames 0.292M, mean epr 1.260
time 00h 26m 15s, episodes 1206, frames 0.294M, mean epr 1.279
time 00h 26m 26s, episodes 1215, frames 0.296M, mean epr 1.246
time 00h 26m 37s, episodes 1221, frames 0.298M, mean epr 1.202
time 00h 26m 47s, episodes 1229, frames 0.300M, mean epr 1.284
time 00h 26m 57s, episodes 1235, frames 0.302M, mean epr 1.326
time 00h 27m 08s, episodes 1241, frames 0.304M, mean epr 1.346
time 00h 27m 19s, episodes 1251, frames 0.306M, mean epr 1.379
time 00h 27m 29s, episodes 1255, frames 0.308M, mean epr 1.365
time 00h 27m 40s, episodes 1262, frames 0.309M, mean epr 1.388
time 00h 27m 50s, episodes 1267, frames 0.311M, mean epr 1.467
time 00h 28m 00s, episodes 1276, frames 0.313M, mean epr 1.485
time 00h 28m 11s, episodes 1285, frames 0.315M, mean epr 1.473
time 00h 28m 21s, episodes 1289, frames 0.317M, mean epr 1.514
time 00h 28m 32s, episodes 1299, frames 0.319M, mean epr 1.578
time 00h 28m 42s, episodes 1306, frames 0.321M, mean epr 1.568
time 00h 28m 52s, episodes 1315, frames 0.323M, mean epr 1.604
time 00h 29m 03s, episodes 1324, frames 0.325M, mean epr 1.513
time 00h 29m 13s, episodes 1334, frames 0.327M, mean epr 1.502
time 00h 29m 23s, episodes 1342, frames 0.329M, mean epr 1.434
time 00h 29m 34s, episodes 1352, frames 0.331M, mean epr 1.392
time 00h 29m 44s, episodes 1362, frames 0.333M, mean epr 1.346
time 00h 29m 54s, episodes 1368, frames 0.335M, mean epr 1.306
time 00h 30m 05s, episodes 1378, frames 0.337M, mean epr 1.296
time 00h 30m 15s, episodes 1382, frames 0.339M, mean epr 1.304
time 00h 30m 25s, episodes 1391, frames 0.341M, mean epr 1.356
time 00h 30m 36s, episodes 1401, frames 0.343M, mean epr 1.353
time 00h 30m 46s, episodes 1408, frames 0.345M, mean epr 1.348
